country,continent,year,life_expectancy,population_millions,gdp_per_capita
Afghanistan,Asia,1952,28.801,8.425333e-06,779.4453145
Afghanistan,Asia,1957,30.332,9.240934e-06,820.8530296
Afghanistan,Asia,1962,31.997,1.0267082999999999e-05,853.10071
Afghanistan,Asia,1967,34.02,1.1537966e-05,836.1971382
Afghanistan,Asia,1972,36.088,1.307946e-05,739.9811058
Afghanistan,Asia,1977,38.438,1.4880371999999999e-05,786.11336
Afghanistan,Asia,1982,39.854,1.2881816000000001e-05,978.0114388
Afghanistan,Asia,1987,40.822,1.3867957e-05,852.3959448
Afghanistan,Asia,1992,41.674,1.6317921e-05,649.3413952
Afghanistan,Asia,1997,41.763,2.2227415e-05,635.341351
Afghanistan,Asia,2002,42.129,2.5268405e-05,726.7340548
Afghanistan,Asia,2007,43.828,3.1889923e-05,974.5803384
Albania,Europe,1952,55.23,1.282697e-06,1601.056136
Albania,Europe,1957,59.28,1.4765049999999999e-06,1942.284244
Albania,Europe,1962,64.82,1.728137e-06,2312.888958
Albania,Europe,1967,66.22,1.98406e-06,2760.196931
Albania,Europe,1972,67.69,2.2635540000000002e-06,3313.422188
Albania,Europe,1977,68.93,2.509048e-06,3533.00391
Albania,Europe,1982,70.42,2.780097e-06,3630.880722
Albania,Europe,1987,72.0,3.0753210000000004e-06,3738.932735
Albania,Europe,1992,71.581,3.3264979999999998e-06,2497.437901
Albania,Europe,1997,72.95,3.428038e-06,3193.054604
Albania,Europe,2002,75.651,3.5085120000000003e-06,4604.211737
Albania,Europe,2007,76.423,3.600523e-06,5937.029526
Algeria,Africa,1952,43.077,9.279525e-06,2449.008185
Algeria,Africa,1957,45.685,1.0270856e-05,3013.976023
Algeria,Africa,1962,48.303,1.1000948e-05,2550.81688
Algeria,Africa,1967,51.407,1.2760499e-05,3246.991771
Algeria,Africa,1972,54.518,1.4760787e-05,4182.663766
Algeria,Africa,1977,58.014,1.7152804e-05,4910.416756
Algeria,Africa,1982,61.368,2.0033753e-05,5745.160213
Algeria,Africa,1987,65.799,2.3254956e-05,5681.358539
Algeria,Africa,1992,67.744,2.6298373e-05,5023.216647
Algeria,Africa,1997,69.152,2.9072015e-05,4797.295051
Algeria,Africa,2002,70.994,3.1287142e-05,5288.040382
Algeria,Africa,2007,72.301,3.3333216e-05,6223.367465
Angola,Africa,1952,30.015,4.232095e-06,3520.610273
Angola,Africa,1957,31.999,4.561361e-06,3827.940465
Angola,Africa,1962,34.0,4.826015e-06,4269.276742
Angola,Africa,1967,35.985,5.2474689999999995e-06,5522.776375
Angola,Africa,1972,37.928,5.894858e-06,5473.288005
Angola,Africa,1977,39.483,6.162675e-06,3008.647355
Angola,Africa,1982,39.942,7.016384000000001e-06,2756.953672
Angola,Africa,1987,39.906,7.87423e-06,2430.208311
Angola,Africa,1992,40.647,8.735988000000001e-06,2627.845685
Angola,Africa,1997,40.963,9.875024e-06,2277.140884
Angola,Africa,2002,41.003,1.0866106e-05,2773.287312
Angola,Africa,2007,42.731,1.2420476e-05,4797.231267
Argentina,Americas,1952,62.485,1.7876956e-05,5911.315053
Argentina,Americas,1957,64.399,1.9610538e-05,6856.856212
Argentina,Americas,1962,65.142,2.1283783e-05,7133.166023
Argentina,Americas,1967,65.634,2.2934225e-05,8052.953021
Argentina,Americas,1972,67.065,2.4779799e-05,9443.038526
Argentina,Americas,1977,68.481,2.6983828e-05,10079.02674
Argentina,Americas,1982,69.942,2.9341374e-05,8997.897412
Argentina,Americas,1987,70.774,3.1620918e-05,9139.671389
Argentina,Americas,1992,71.868,3.3958947e-05,9308.41871
Argentina,Americas,1997,73.275,3.6203463e-05,10967.28195
Argentina,Americas,2002,74.34,3.8331121e-05,8797.640716
Argentina,Americas,2007,75.32,4.0301927e-05,12779.37964
Australia,Oceania,1952,69.12,8.691212e-06,10039.59564
Australia,Oceania,1957,70.33,9.712569000000001e-06,10949.64959
Australia,Oceania,1962,70.93,1.0794968e-05,12217.22686
Australia,Oceania,1967,71.1,1.1872264e-05,14526.12465
Australia,Oceania,1972,71.93,1.3177e-05,16788.62948
Australia,Oceania,1977,73.49,1.40741e-05,18334.19751
Australia,Oceania,1982,74.74,1.5184200000000001e-05,19477.00928
